Search Information
System/Overall Polymer SQL:,
Individual Block Search
Block #1,Subgraph:,CCO ex,SQL:,
""
BCDB HITS IN TABLE diblock
ind,ORCID,DOI,phase1,phase2,phase_method,T,T_meas,T_anneal,T_alt,T_describe,notes,BigSMILES,Mn,Mn_method,Mw,Mw_method,D,D_method,N,N_method,name1,Mn1,Mn1_method,Mw1,Mw1_method,D1,D1_method,N1,N1_method,f1,f1_method,f_tot1,f_tot1_method,w1,w1_method,rho1,rho1_method,name2,Mn2,Mn2_method,Mw2,Mw2_method,D2,D2_method,N2,N2_method,f2,f2_method,f_tot2,f_tot2_method,w2,w2_method,rho2,rho2_method,Tstd,measstd,annealstd,Taltstd,Mnstd,Mwstd,Dstd,Nstd,Mn1std,Mw1std,D1std,N1std,f1std,ftot1std,w1std,rho1std,Mn2std,Mw2std,D2std,N2std,f2std,ftot2std,w2std,rho2std,Tse,measse,annealse,Taltse,Mnse,Mwse,Dse,Nse,Mn1se,Mw1se,D1se,N1se,f1se,ftot1se,w1se,rho1se,Mn2se,Mw2se,D2se,N2se,f2se,ftot2se,w2se,rho2se,Tunc,Tdesc,measunc,measdesc,annealunc,annealdesc,Taltunc,Taltdesc,Mnunc,Mndesc,Mwunc,Mwdesc,Dunc,Ddesc,Nunc,Ndesc,Mn1unc,Mn1desc,Mw1unc,Mw1desc,D1unc,D1desc,N1unc,N1desc,f1unc,f1desc,ftot1unc,ftot1desc,w1unc,w1desc,rho1unc,rho1desc,Mn2unc,Mn2desc,Mw2unc,Mw2desc,D2unc,D2desc,N2unc,N2desc,f2unc,f2desc,ftot2unc,ftot2desc,w2unc,w2desc,rho2unc,rho2desc
108,0000-0001-7737-0526,https://doi.org/10.1016/S0032-3861(02)00457-3,lamellar,,SAXS,150.0,150.0,,,,,"{[][<]CCO[>][<]}{[$][$]C\C=C(C)/C[$],[$]C\C=C(C)\C[$],[$]CC(C(C)=C)[$],[$]CC(C)(C=C)[$][]}",17150.0,,,,,,,,PEO,,,,,,,,,0.62,,0.62,,,,,,PI,,,,,,,,,0.38,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,0000-0001-7737-0526,https://doi.org/10.1016/S0032-3861(02)00457-3,lamellar,,SAXS,200.0,200.0,,,,,"{[][<]CCO[>][<]}{[$][$]C\C=C(C)/C[$],[$]C\C=C(C)\C[$],[$]CC(C(C)=C)[$],[$]CC(C)(C=C)[$][]}",17150.0,,,,,,,,PEO,,,,,,,,,0.62,,0.62,,,,,,PI,,,,,,,,,0.38,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,0000-0001-7737-0526,https://doi.org/10.1016/S0032-3861(02)00457-3,lamellar,,SAXS,250.0,250.0,,,,,"{[][<]CCO[>][<]}{[$][$]C\C=C(C)/C[$],[$]C\C=C(C)\C[$],[$]CC(C(C)=C)[$],[$]CC(C)(C=C)[$][]}",17150.0,,,,,,,,PEO,,,,,,,,,0.62,,0.62,,,,,,PI,,,,,,,,,0.38,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,0000-0001-7737-0526,https://doi.org/10.1016/S0032-3861(02)00457-3,lamellar,,SAXS,300.0,300.0,,,,,"{[][<]CCO[>][<]}{[$][$]C\C=C(C)/C[$],[$]C\C=C(C)\C[$],[$]CC(C(C)=C)[$],[$]CC(C)(C=C)[$][]}",17150.0,,,,,,,,PEO,,,,,,,,,0.62,,0.62,,,,,,PI,,,,,,,,,0.38,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,0000-0001-7737-0526,https://doi.org/10.1016/S0032-3861(02)00457-3,lamellar,,SAXS,340.0,340.0,,,,,"{[][<]CCO[>][<]}{[$][$]C\C=C(C)/C[$],[$]C\C=C(C)\C[$],[$]CC(C(C)=C)[$],[$]CC(C)(C=C)[$][]}",17150.0,,,,,,,,PEO,,,,,,,,,0.62,,0.62,,,,,,PI,,,,,,,,,0.38,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,0000-0001-7737-0526,https://doi.org/10.1016/S0032-3861(02)00457-3,lamellar,,SAXS,60.0,60.0,,,,,"{[][<]CCO[>][<]}{[$][$]C\C=C(C)/C[$],[$]C\C=C(C)\C[$],[$]CC(C(C)=C)[$],[$]CC(C)(C=C)[$][]}",24160.0,,,,,,,,PEO,,,,,,,,,0.73,,0.73,,,,,,PI,,,,,,,,,0.27,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,0000-0001-7737-0526,https://doi.org/10.1016/S0032-3861(02)00457-3,lamellar,,SAXS,100.0,100.0,,,,,"{[][<]CCO[>][<]}{[$][$]C\C=C(C)/C[$],[$]C\C=C(C)\C[$],[$]CC(C(C)=C)[$],[$]CC(C)(C=C)[$][]}",24160.0,,,,,,,,PEO,,,,,,,,,0.73,,0.73,,,,,,PI,,,,,,,,,0.27,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,0000-0001-7737-0526,https://doi.org/10.1016/S0032-3861(02)00457-3,lamellar,,SAXS,150.0,150.0,,,,,"{[][<]CCO[>][<]}{[$][$]C\C=C(C)/C[$],[$]C\C=C(C)\C[$],[$]CC(C(C)=C)[$],[$]CC(C)(C=C)[$][]}",24160.0,,,,,,,,PEO,,,,,,,,,0.73,,0.73,,,,,,PI,,,,,,,,,0.27,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,0000-0001-7737-0526,https://doi.org/10.1016/S0032-3861(02)00457-3,lamellar,,SAXS,200.0,200.0,,,,,"{[][<]CCO[>][<]}{[$][$]C\C=C(C)/C[$],[$]C\C=C(C)\C[$],[$]CC(C(C)=C)[$],[$]CC(C)(C=C)[$][]}",24160.0,,,,,,,,PEO,,,,,,,,,0.73,,0.73,,,,,,PI,,,,,,,,,0.27,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,0000-0001-7737-0526,https://doi.org/10.1016/S0032-3861(02)00457-3,lamellar,,SAXS,250.0,250.0,,,,,"{[][<]CCO[>][<]}{[$][$]C\C=C(C)/C[$],[$]C\C=C(C)\C[$],[$]CC(C(C)=C)[$],[$]CC(C)(C=C)[$][]}",24160.0,,,,,,,,PEO,,,,,,,,,0.73,,0.73,,,,,,PI,,,,,,,,,0.27,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,0000-0001-7737-0526,https://doi.org/10.1016/S0032-3861(02)00457-3,lamellar,,SAXS,300.0,300.0,,,,,"{[][<]CCO[>][<]}{[$][$]C\C=C(C)/C[$],[$]C\C=C(C)\C[$],[$]CC(C(C)=C)[$],[$]CC(C)(C=C)[$][]}",24160.0,,,,,,,,PEO,,,,,,,,,0.73,,0.73,,,,,,PI,,,,,,,,,0.27,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,0000-0001-7737-0526,https://doi.org/10.1016/S0032-3861(02)00457-3,disordered,,SAXS,60.0,60.0,,,,,"{[][<]CCO[>][<]}{[$][$]C\C=C(C)/C[$],[$]C\C=C(C)\C[$],[$]CC(C(C)=C)[$],[$]CC(C)(C=C)[$][]}",1690.0,,,,,,,,PEO,,,,,,,,,0.48,,0.48,,,,,,PI,,,,,,,,,0.52,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,0000-0001-7737-0526,https://doi.org/10.1016/S0032-3861(02)00457-3,cylinder,,SAXS,160.0,160.0,,,,"""No ODT was found for these materials below 160C""","{[][<]CCO[>][<]}{[$][$]C\C=C/C[$],[$]C\C=C\C[$],[$]CC(C=C)[$][]}",14300.0,,,,,,,,PEO,,,,,,,,,0.248,,0.248,,,,,,14PB,,,,,,,,,0.752,,0.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,0000-0001-7737-0526,https://doi.org/10.1016/S0032-3861(02)00457-3,lamellar,,SAXS,160.0,160.0,,,,,"{[][<]CCO[>][<]}{[$][$]C\C=C/C[$],[$]C\C=C\C[$],[$]CC(C=C)[$][]}",14900.0,,,,,,,,PEO,,,,,,,,,0.654,,0.654,,,,,,14PB,,,,,,,,,0.346,,0.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,0000-0001-7737-0526,https://doi.org/10.1016/S0032-3861(02)00457-3,cylinder,,SAXS,160.0,160.0,,,,,"{[][<]CCO[>][<]}{[$][$]C\C=C/C[$],[$]C\C=C\C[$],[$]CC(C=C)[$][]}",22700.0,,,,,,,,PEO,,,,,,,,,0.756,,0.756,,,,,,14PB,,,,,,,,,0.244,,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,0000-0001-7737-0526,https://doi.org/10.1021/ma960105f,lamellar,disordered,SAXS,42.85000000000002,42.85000000000002,,,,"ODT measured by SAXS and rheology, SAXS used in tabulated, rheology used in next slide",COCCOCCO{[>][<]CCO[>][<]}{[>][<]C(CC)CO[>][<]}[H],3400.0,,,,,,,,PEO,,,,,,,,,0.5,,0.5,,,,,,POB,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
